id;Sub category;Questions;Correct answer;A;B;C;Save correct Answer;;Étiquettes de lignes;Nombre de id
49;Basics;Spanish;c;espańsku;ispańsku;hiszpańsku;hiszpańsku;;;
50;Basics;German;b;deutschku;niemiecku;germansku;niemiecku;;;
51;Basics;French;c;frankuska;franzuske;francusku;francusku;;;
52;Politeness;enjoy your meal;b;przepraszam;smacznego;proszę;smacznego;;;
53;Food;water;c;wina;winda;wody;wody;;;
54;Everyday;ticket;c;ticket;bilety;bilet;bilet;;;
55;Politeness;sorry;c;proszę;dzięki;przepraszam;przepraszam;;;
56;Politeness;thank you;b;proszę;dziękuję ;dzięki;dziękuję ;;;
57;Politeness;please;c;przepraszam;dzięki;proszę;proszę;;;
58;Politeness;you're welcome;c;przepraszam;dzięki;proszę;proszę;;;
59;Politeness;thanks;c;proszę;dziękuję ;dzięki;dzięki;;;
60;Politeness;goodbye;a;do widzenia;dobranoc;dobry wieczór;do widzenia;;;
61;Politeness;good night;b;do widzenia;dobranoc;dobry wieczór;dobranoc;;;
62;Politeness;hi;b;dzień dobry;cześć;dobry wieczór;cześć;;;
63;Politeness;good evening;c;do widzenia;dobranoc;dobry wieczór;dobry wieczór;;;
64;Politeness;good morning;a;dzień dobry;dobry wieczór;do widzenia;dzień dobry;;;
65;Everyday;next station;c;stacja druga;ostatnia stacja;następna stacja;następna stacja;;;
66;Places;bakery;c;bakeria;cukierna;piekarnia;piekarnia;;;
67;Politeness;very;c;sto;dni;bardzo;bardzo;;;
68;Everyday;caution;b;uwagan;uwaga;caution;uwaga;;;
69;Everyday;new world;a;nowy świat;nowzy świate;nove światy;nowy świat;;;
70;Places;castle;b;kierunek;zamek;rynek;zamek;;;
71;Everyday;COVID-19 test;a;badania na COVID-19;prawa na COVID-19;testy na COVID-19;badania na COVID-19;;;
72;Everyday;national;c;nowzy;national;narodowe;narodowe;;;
73;Places;hospital;c;kierunek;witamy;szpital;szpital;;;
74;Politeness;welcome;a;witamy;Cześć;dobrze;witamy;;;
75;Everyday;lift;a;winda;ascensore;lift;winda;;;
76;Food;mint;c;arkusz;herbata;mieta;mieta;;;
77;Basics;tree;a;arbuza;arbra;arwbru;arbuza;;;
78;Basics;day;b;teg;dni;jowa;dni;;;
79;Basics;hour;c;luty;dni;godzina;godzina;;;
80;Places;store;c;winda;piekarnia;sklep;sklep;;;
81;Politeness;I am ;a;jestem;to jest;jesteś;jestem;;;
82;Politeness;I don't speak polish;a;Nie mówię po polsku;Nié mouiwę po pwolsku;Nié moiwę po polsku;Nie mówię po polsku;;;
83;Politeness;I speak English;a;Mówię po angielsku;Słucham języka angielskiego;Rozumiem język angielski;Mówię po angielsku;;;
84;Food;beer;c;pinda;ptorek;piwo;piwo;;;
85;Food;wine;c;winda;wtorek;wino;wino;;;
86;Food;dumpling;c;pierogia;pierogie;pierogi;pierogi;;;
87;Food;vodka;b;wodka;vodka;vódka;vodka;;;
88;Places;street;a;ulica;aleja;zamek;ulica;;;
89;Places;avenue;c;zamek;ulica;aleja;aleja;;;
90;Places;monument;b;monument;pomnik;szpital;pomnik;;;
91;Places;palace;b;palaz;pałac;palace;pałac;;;
92;Places;traffic circle;c;rondu;rounde;rondo;rondo;;;
93;Places;main station;a;dworzec główny;następna stacja;;dworzec główny;;;
94;Places;station;c;główny;dworzec;stacja;stacja;;;
95;Basics;February;a;Luty;Kwiecień;Czerwiec;Luty;;;
96;Basics;March;c;March;Maj;Marzec;Marzec;;;
97;Basics;April;b;Maj;Kwiecień;Czerwiec;Kwiecień;;;
98;Basics;May;c;Czerwiec;Marzec;Maj;Maj;;;
99;Basics;June;b;Kwiecień;Czerwiec;Luty;Czerwiec;;;
100;Basics;Monday;c;środa;niedziela;poniedziałek;poniedziałek;;;
101;Basics;Tuesday;a;wtorek;poniedziałek;środa;wtorek;;;
102;Basics;Wednesday;b;czwartek;środa;piątek;środa;;;
103;Basics;Thursday;a;czwartek;środa;piątek;czwartek;;;
104;Basics;Friday;a;piątek;czwartek;sobota;piątek;;;
105;Basics;Staturday;a;sobota;niedziela;środa;sobota;;;
106;Basics;Sunday;c;środa;sobota;niedziela;niedziela;;;
107;Everyday;east;c;zachód;północ;wschód;wschód;;;
108;Everyday;west;c;wschód;południe;zachód;zachód;;;
109;Everyday;north;a;północ;zachód;południe;północ;;;
110;Everyday;south;c;zachód;północ;południe;południe;;;
111;Food;coffee;b;coffee;kawa;cafe;kawa;;;
112;Food;tea;a;herbata;arkusz;grabie;herbata;;;
113;Places;exit;b;aleja;wyjście;kierunek;wyjście;;;
114;Places;direction;c;wyjście;ulica;kierunek;kierunek;;;
